observation_date,CHELOLITOAASTSAM
2005-08-01,99.3333791760809
2005-09-01,99.5951145507379
2005-10-01,99.9907213325254
2005-11-01,100.4869932917470
2005-12-01,101.0310493483000
2006-01-01,101.5290156033230
2006-02-01,101.9290042297260
2006-03-01,102.2089949204300
2006-04-01,102.3432948465350
2006-05-01,102.3484168946650
2006-06-01,102.2883792491870
2006-07-01,102.2171297534820
2006-08-01,102.2116203070970
2006-09-01,102.2696727226760
2006-10-01,102.3751087013020
2006-11-01,102.5197946557350
2006-12-01,102.6659106835210
2007-01-01,102.7967662646150
2007-02-01,102.8778113561080
2007-03-01,102.8661758322870
2007-04-01,102.8067998484700
2007-05-01,102.7366867124850
2007-06-01,102.6417646444190
2007-07-01,102.5167548604050
2007-08-01,102.3806193470730
2007-09-01,102.2262448561510
2007-10-01,102.0501563108460
2007-11-01,101.8583054693000
2007-12-01,101.5928487879010
2008-01-01,101.2648261693170
2008-02-01,100.8761527477790
2008-03-01,100.4231451837060
2008-04-01,99.9581385322640
2008-05-01,99.4983947906911
2008-06-01,98.9471164585174
2008-07-01,98.2894622366758
2008-08-01,97.5179898673414
2008-09-01,96.6625240578154
2008-10-01,95.7981041873227
2008-11-01,95.0191777872708
2008-12-01,94.4186281414939
2009-01-01,94.0600674086755
2009-02-01,93.9694361791292
2009-03-01,94.1810379061078
2009-04-01,94.6823172485822
2009-05-01,95.4254681838865
2009-06-01,96.3201959610926
2009-07-01,97.2877435693802
2009-08-01,98.2681039385796
2009-09-01,99.1891559798272
2009-10-01,99.9873102501325
2009-11-01,100.6265049242480
2009-12-01,101.1188604291060
2010-01-01,101.4876740005400
2010-02-01,101.7459475919110
2010-03-01,101.9086854577330
2010-04-01,101.9806626908960
2010-05-01,101.9607504041350
2010-06-01,101.8955331889480
2010-07-01,101.8237516820470
2010-08-01,101.7839698932340
2010-09-01,101.8185500267260
2010-10-01,101.9277799922680
2010-11-01,102.1230638502560
2010-12-01,102.3785837168400
2011-01-01,102.5967997710010
2011-02-01,102.7262841707260
2011-03-01,102.6679013039640
2011-04-01,102.3199140342780
2011-05-01,101.6762186904250
2011-06-01,100.8669457696850
2011-07-01,100.0067427141710
2011-08-01,99.2610102989889
2011-09-01,98.7196368851739
2011-10-01,98.4303350718341
2011-11-01,98.3767361329836
2011-12-01,98.5383684708790
