report_date_as_yyyy_mm_dd,cftc_contract_market_code,contract_market_name,open_interest_all,lev_money_positions_long,lev_money_positions_short,asset_mgr_positions_long,asset_mgr_positions_short,dealer_positions_long_all,dealer_positions_short_all,other_rept_positions_long,other_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all
2006-08-29T00:00:00.000,112741,NZ DOLLAR,18099,10687,2419,1218,171,2661,13752,786,211,2037,836
2006-08-29T00:00:00.000,232741,AUSTRALIAN DOLLAR,63348,33721,522,1247,906,1859,51806,546,1361,24138,6916
2006-09-05T00:00:00.000,090741,CANADIAN DOLLAR,111705,46603,19327,4960,7674,16859,58322,3133,2194,34309,18347
2006-09-05T00:00:00.000,092741,SWISS FRANC,70053,11177,28460,870,400,44098,25308,450,541,12231,14117
2006-09-05T00:00:00.000,096742,BRITISH POUND,131836,67834,12726,8588,1878,18777,94665,1569,40,30622,18081
2006-09-05T00:00:00.000,097741,JAPANESE YEN,228792,26200,100473,31145,4165,81599,39923,9144,2430,35193,36290
2006-09-05T00:00:00.000,098662,USD INDEX,20114,11208,9471,0,798,4500,1809,561,2281,1018,2928
2006-09-05T00:00:00.000,099741,EURO FX,171026,59319,9214,18141,9398,14861,108061,7884,2619,56478,27391
2006-09-05T00:00:00.000,112741,NZ DOLLAR,18852,11218,3164,1431,0,3179,14151,434,292,2116,771
2006-09-05T00:00:00.000,232741,AUSTRALIAN DOLLAR,81372,49600,3685,1166,906,1180,65228,0,1462,27460,8125
2006-09-12T00:00:00.000,090741,CANADIAN DOLLAR,138181,37246,19993,4907,8123,26115,57378,3947,2194,35912,20439
2006-09-12T00:00:00.000,092741,SWISS FRANC,98012,12688,42935,857,430,62458,21971,450,1454,11168,20831
2006-09-12T00:00:00.000,096742,BRITISH POUND,127633,51081,15778,8025,2841,20643,69134,1131,30,27963,21060
2006-09-12T00:00:00.000,097741,JAPANESE YEN,275585,43824,129659,36012,6224,103726,32635,7461,2926,34112,53691
2006-09-12T00:00:00.000,098662,USD INDEX,22167,11258,8325,0,509,2173,3170,761,2223,2549,2514
2006-09-12T00:00:00.000,099741,EURO FX,168483,61227,10696,18597,10035,13545,93994,5151,1682,52744,34857
2006-09-12T00:00:00.000,112741,NZ DOLLAR,19320,9420,1684,1625,0,3952,13847,289,416,1679,1018
2006-09-12T00:00:00.000,232741,AUSTRALIAN DOLLAR,69370,29428,721,1032,1257,3738,42809,179,947,22378,11021
2006-09-19T00:00:00.000,090741,CANADIAN DOLLAR,138838,43733,37720,4405,8115,40030,50747,4057,1741,27666,21568
2006-09-19T00:00:00.000,092741,SWISS FRANC,76994,11859,52237,450,466,54421,1654,450,1910,9454,20367
