observation_date,CSCICP03O9M665S
2015-08-01,99.6265635764960
2015-09-01,99.5705078671986
2015-10-01,99.6003211286351
2015-11-01,99.6679746915605
2015-12-01,99.6780440619254
2016-01-01,99.6090660361776
2016-02-01,99.4806191544207
2016-03-01,99.3502372945550
2016-04-01,99.3386624152762
2016-05-01,99.4446187671566
2016-06-01,99.6041278528011
2016-07-01,99.7257008856144
2016-08-01,99.8023980542227
2016-09-01,99.8734573557286
2016-10-01,99.9702548030314
2016-11-01,100.0838194113330
2016-12-01,100.1814089866780
2017-01-01,100.2718129987580
2017-02-01,100.4031372315870
2017-03-01,100.5397304292400
2017-04-01,100.6670925127060
2017-05-01,100.7413114966230
2017-06-01,100.8042192414860
2017-07-01,100.9022439408450
2017-08-01,101.0634540353460
2017-09-01,101.3103747518190
2017-10-01,101.5523649495680
2017-11-01,101.6463242722790
2017-12-01,101.6949086513060
2018-01-01,101.7402114820320
2018-02-01,101.7936326146760
2018-03-01,101.8013933809560
2018-04-01,101.7664784916590
2018-05-01,101.6846955913310
2018-06-01,101.5615237292440
2018-07-01,101.4874688097970
2018-08-01,101.3924763514750
2018-09-01,101.3321747855350
2018-10-01,101.3306205481760
2018-11-01,101.3844769414150
2018-12-01,101.4514273318240
2019-01-01,101.5257617358970
2019-02-01,101.6272069906880
2019-03-01,101.6734679445300
2019-04-01,101.6713339179580
2019-05-01,101.6305327885960
2019-06-01,101.5734067456050
2019-07-01,101.4600955255840
2019-08-01,101.3286213047790
2019-09-01,101.3321080776500
2019-10-01,101.4230369788820
2019-11-01,101.5750355791360
2019-12-01,101.6749869905100
2020-01-01,101.5360271160800
2020-02-01,100.9712972799500
2020-03-01,100.0097883247180
2020-04-01,98.9383866802814
2020-05-01,98.4945764003731
2020-06-01,98.5882969708584
2020-07-01,98.9052503212824
2020-08-01,99.2357335472151
2020-09-01,99.5539796921086
2020-10-01,99.7378384293450
2020-11-01,99.8344076815934
2020-12-01,99.9442896087196
2021-01-01,100.0800869818400
2021-02-01,100.3038070061740
2021-03-01,100.5132257545960
2021-04-01,100.6819797970670
2021-05-01,100.8194766051950
2021-06-01,100.8635569051880
2021-07-01,100.6759569422010
2021-08-01,100.4744557504660
2021-09-01,100.4189623470030
2021-10-01,100.3490685180900
2021-11-01,100.2458657522040
2021-12-01,100.1350395385780
2022-01-01,99.8802190123889
2022-02-01,99.2687058951431
2022-03-01,98.2089932860357
2022-04-01,97.0431734688724
2022-05-01,96.3117829372398
2022-06-01,95.9565608415944
2022-07-01,95.8415886325252
2022-08-01,95.8773279153028
2022-09-01,95.9054866175671
2022-10-01,95.9692992911792
2022-11-01,96.1261408893118
2022-12-01,96.4506354334310
2023-01-01,96.8419929279431
2023-02-01,97.1452987966242
2023-03-01,97.2256699283704
2023-04-01,97.1752726883262
2023-05-01,97.1714610086902
2023-06-01,97.2108445877700
2023-07-01,97.2558223368047
2023-08-01,97.2206889916872
2023-09-01,97.1407239597650
2023-10-01,96.9047314580231
