observation_date,USAPIEAMP01GPM
2007-06-01,-0.0610500620
2007-07-01,0.7330482591
2007-08-01,-1.1522134582
2007-09-01,0.4294478481
2007-10-01,0.4886988356
2007-11-01,2.1276595740
2007-12-01,-0.6547619040
2008-01-01,0.9586578829
2008-02-01,0.6528189903
2008-03-01,2.2405660400
2008-04-01,1.0957324063
2008-05-01,2.3388476946
2008-06-01,1.4492753539
2008-07-01,1.9780219785
2008-08-01,-1.6163793057
2008-09-01,0.1642935404
2008-10-01,-3.3351558242
2008-11-01,-4.1855203645
2008-12-01,-3.1286894866
2009-01-01,0.3656307074
2009-02-01,-0.4857316296
2009-03-01,-0.6101281251
2009-04-01,0.7980356057
2009-05-01,0.9744214299
2009-06-01,1.5681544051
2009-07-01,-0.7719714975
2009-08-01,1.3764213040
2009-09-01,-0.4722550142
2009-10-01,0.1779359458
2009-11-01,1.0657193552
2009-12-01,0.0585823091
2010-01-01,1.3466042148
2010-02-01,-0.5199306733
2010-03-01,0.9872241518
2010-04-01,0.7475560678
2010-05-01,0.5136986276
2010-06-01,-0.7382169127
2010-07-01,-0.0572082389
2010-08-01,0.3434459020
2010-09-01,0.1140901330
2010-10-01,1.0256410205
2010-11-01,0.5076142212
2010-12-01,0.5050505025
2011-01-01,1.1166945808
2011-02-01,1.2147984524
2011-03-01,2.1822149520
2011-04-01,1.5483182105
2011-05-01,0.8937959986
2011-06-01,-0.4168837905
2011-07-01,0.3139717377
2011-08-01,-0.5216484075
2011-09-01,0.4195070760
2011-10-01,-0.6788511662
2011-11-01,0.2103049357
2011-12-01,-0.5246589702
2012-01-01,0.7911392431
2012-02-01,0.5232862360
2012-03-01,1.1452368544
2012-04-01,0.2058672189
2012-05-01,-0.5649717507
2012-06-01,-0.9814049644
2012-07-01,-0.2608241989
2012-08-01,1.2029288697
2012-09-01,0.9819121409
2012-10-01,-0.1535312204
2012-11-01,-1.2813941484
2012-12-01,-0.4153686462
2013-01-01,0.4171011536
2013-02-01,1.3499480711
2013-03-01,-0.3586065535
2013-04-01,-0.2570694128
2013-05-01,0.0000000000
2013-06-01,-0.0515463926
2013-07-01,0.0515729766
2013-08-01,0.3092783554
