observation_date,BSCICP03NZM665S
2016-04-01,100.48900
2016-05-01,100.79340
2016-06-01,101.11140
2016-07-01,101.35970
2016-08-01,101.54220
2016-09-01,101.66550
2016-10-01,101.71990
2016-11-01,101.72070
2016-12-01,101.66460
2017-01-01,101.54080
2017-02-01,101.39860
2017-03-01,101.30060
2017-04-01,101.29340
2017-05-01,101.33500
2017-06-01,101.36530
2017-07-01,101.32770
2017-08-01,101.20220
2017-09-01,100.94630
2017-10-01,100.52300
2017-11-01,100.06040
2017-12-01,99.73091
2018-01-01,99.67114
2018-02-01,99.76777
2018-03-01,99.88126
2018-04-01,99.91307
2018-05-01,99.85604
2018-06-01,99.70164
2018-07-01,99.43612
2018-08-01,99.13396
2018-09-01,98.88471
2018-10-01,98.75637
2018-11-01,98.70591
2018-12-01,98.68314
2019-01-01,98.65669
2019-02-01,98.61233
2019-03-01,98.53638
2019-04-01,98.41718
2019-05-01,98.27801
2019-06-01,98.15321
2019-07-01,98.08420
2019-08-01,98.10117
2019-09-01,98.26015
2019-10-01,98.59409
2019-11-01,98.92194
2019-12-01,98.97652
2020-01-01,98.53862
2020-02-01,97.84422
2020-03-01,97.19788
2020-04-01,96.84265
2020-05-01,96.78185
2020-06-01,97.06242
2020-07-01,97.76371
2020-08-01,98.64507
2020-09-01,99.43099
2020-10-01,99.91632
2020-11-01,100.16680
2020-12-01,100.24780
2021-01-01,100.18820
2021-02-01,100.11310
2021-03-01,100.15790
2021-04-01,100.39720
2021-05-01,100.65430
2021-06-01,100.66190
2021-07-01,100.20610
2021-08-01,99.51839
2021-09-01,98.90045
2021-10-01,98.58044
2021-11-01,98.49942
2021-12-01,98.59082
2022-01-01,98.82095
2022-02-01,99.05703
2022-03-01,99.13942
2022-04-01,98.94778
2022-05-01,98.62100
2022-06-01,98.32624
2022-07-01,98.16306
2022-08-01,98.03555
2022-09-01,97.79102
2022-10-01,97.32307
2022-11-01,96.79163
2022-12-01,96.43530
2023-01-01,96.44713
2023-02-01,96.67540
2023-03-01,96.93630
2023-04-01,97.11018
2023-05-01,97.20522
2023-06-01,97.25730
2023-07-01,97.30882
2023-08-01,97.43037
2023-09-01,97.74083
2023-10-01,98.35730
2023-11-01,99.15625
2023-12-01,100.01580
