,USD,JPY,CAD,AUD,GBP,EUR,CHF,NZD
1991-09-01 00:00:00+00:00,76.22253,70.94675,76.3,72.63953,77.48563,,,73.20513
1991-10-01 00:00:00+00:00,76.04935,71.06349,76.2,72.70795,77.48563,,,73.20513
1991-11-01 00:00:00+00:00,76.28132,71.17457,75.9,72.94157,77.48563,,,73.20513
1991-12-01 00:00:00+00:00,76.23903,71.10039,76.1,72.58377,77.12659,,,72.74873
1992-01-01 00:00:00+00:00,76.16338,71.18289,75.7,72.5423,77.12659,,,72.74873
1992-02-01 00:00:00+00:00,76.20662,71.31027,75.5,72.84036,77.12659,,,72.74873
1992-03-01 00:00:00+00:00,76.44847,71.3067,75.4,72.75443,76.94698,,,72.95837
1992-04-01 00:00:00+00:00,76.46705,71.51164,75.3,72.88044,76.94698,,,72.95837
1992-05-01 00:00:00+00:00,76.48116,71.33918,75.5,72.74489,76.94698,,,72.95837
1992-06-01 00:00:00+00:00,76.58016,71.3381,75.1,72.69569,76.673,,,72.97809
1992-07-01 00:00:00+00:00,76.7298,71.2402,75.2,72.66025,76.673,,,72.97809
1992-08-01 00:00:00+00:00,77.00043,71.14234,75.3,72.87157,76.673,,,72.97809
1992-09-01 00:00:00+00:00,77.0496,71.22743,75.2,73.23772,76.58773,,,72.45148
1992-10-01 00:00:00+00:00,76.87823,71.3109,75.2,73.05328,76.58773,,,72.45148
1992-11-01 00:00:00+00:00,76.697,71.24742,75.1,72.66732,76.58773,,,72.45148
1992-12-01 00:00:00+00:00,76.35496,71.46365,75.2,73.02523,76.51849,,,72.74903
1993-01-01 00:00:00+00:00,76.46073,71.5319,75.7,72.41357,76.51849,,,72.74903
1993-02-01 00:00:00+00:00,76.58808,71.52979,75.4,72.66996,76.51849,,,72.74903
1993-03-01 00:00:00+00:00,76.43304,71.35534,75.1,72.82108,76.56671,,,72.45664
1993-04-01 00:00:00+00:00,76.51853,71.3372,75.0,72.29111,76.56671,,,72.45664
1993-05-01 00:00:00+00:00,76.48322,71.28037,75.2,72.52492,76.56671,,,72.45664
1993-06-01 00:00:00+00:00,76.43958,71.32382,75.2,72.2818,76.43612,,,72.91552
1993-07-01 00:00:00+00:00,76.74149,71.38234,75.1,72.28363,76.43612,,,72.91552
1993-08-01 00:00:00+00:00,76.82566,71.35113,75.2,72.46009,76.43612,,,72.91552
1993-09-01 00:00:00+00:00,76.71735,71.42564,75.2,72.39544,76.38709,,,72.81416
1993-10-01 00:00:00+00:00,76.68028,71.42979,74.9,72.58841,76.38709,,,72.81416
1993-11-01 00:00:00+00:00,76.42478,71.42204,75.0,72.52916,76.38709,,,72.81416
1993-12-01 00:00:00+00:00,76.56921,71.57472,74.9,73.05914,76.38759,,,73.17194
1994-01-01 00:00:00+00:00,76.58862,71.60683,75.1,73.14701,76.38759,,,73.17194
1994-02-01 00:00:00+00:00,76.67501,71.61897,75.0,72.97262,76.38759,,,73.17194
1994-03-01 00:00:00+00:00,76.68911,71.44933,75.0,72.95349,76.40508,,,73.45734
1994-04-01 00:00:00+00:00,76.75697,71.43645,74.8,73.01125,76.40508,,,73.45734
1994-05-01 00:00:00+00:00,76.60887,71.43433,74.5,73.04942,76.40508,,,73.45734
1994-06-01 00:00:00+00:00,76.60911,71.51801,74.9,72.81183,76.28591,,,73.62649
1994-07-01 00:00:00+00:00,76.68212,71.60239,74.9,72.94557,76.28591,,,73.62649
1994-08-01 00:00:00+00:00,76.49458,71.50636,74.7,73.06335,76.28591,,,73.62649
1994-09-01 00:00:00+00:00,76.53647,71.48743,74.8,73.52973,76.25093,,,73.71337
1994-10-01 00:00:00+00:00,76.79188,71.57168,74.9,73.20203,76.25093,,,73.71337
1994-11-01 00:00:00+00:00,76.7923,71.48634,75.1,73.52023,76.25093,,,73.71337
1994-12-01 00:00:00+00:00,76.95979,71.47115,75.0,73.17951,75.94189,,,74.12081
1995-01-01 00:00:00+00:00,76.95026,71.43533,75.2,73.2959,75.94189,,,74.12081
1995-02-01 00:00:00+00:00,76.91662,71.41779,75.0,73.45336,75.94189,,,74.12081
1995-03-01 00:00:00+00:00,76.90177,71.4067,74.9,73.42748,76.02766,,,73.99945
1995-04-01 00:00:00+00:00,76.92509,71.41271,74.8,73.80517,76.02766,,,73.99945
1995-05-01 00:00:00+00:00,76.92014,71.51556,75.0,73.55325,76.02766,,,73.99945
1995-06-01 00:00:00+00:00,77.11499,71.53215,74.7,73.71542,76.09554,,,74.42381
1995-07-01 00:00:00+00:00,76.80318,71.44587,74.6,73.91619,76.09554,,,74.42381
1995-08-01 00:00:00+00:00,76.78532,71.52227,74.7,74.0168,76.09554,,,74.42381
1995-09-01 00:00:00+00:00,76.97018,71.6704,74.7,73.99047,76.30843,,,74.68478
1995-10-01 00:00:00+00:00,76.87924,71.63168,74.6,74.22606,76.30843,,,74.68478
1995-11-01 00:00:00+00:00,76.85964,71.78942,74.4,74.02596,76.30843,,,74.68478
