add_set,extras,clock,h4_share,max_k,recycle_cap,vt,n_legs,mean_mo,pct_pos,top3,gates,p2t,score
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,4.0,1.5,,8,0.007514508604681321,0.8181818181818182,0.5176615057972067,True,0.02976040862265715,0.08855417695590412
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,4.0,2.0,0.0025,8,0.021643129200282926,0.8181818181818182,0.5653974272984043,True,0.05445861758083201,0.22984038291192016
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,4.0,2.0,,8,0.0101767641902475,0.8181818181818182,0.5237832231242713,True,0.033962855576298745,0.11517673281156592
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",h4=0.55,0.55,,1.0,0.0025,8,0.012099202497465272,0.7272727272727273,0.5649105319219764,True,0.05039900517700013,0.12985566133828907
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",h4=0.55,0.55,,1.0,,8,0.004217240716235102,0.7272727272727273,0.5613042055567766,True,0.01831742837979408,0.05103604352598739
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",h4=0.55,0.55,,1.5,0.0025,8,0.018517533060641734,0.8181818181818182,0.5422292234148152,True,0.06448392029329827,0.19858442151550823
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",h4=0.55,0.55,,1.5,,8,0.007160185439348033,0.8181818181818182,0.5124981710873645,True,0.028546022549887553,0.08501094530257124
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",h4=0.55,0.55,,2.0,0.0025,8,0.022306462516331,0.8181818181818182,0.5560741469529079,True,0.0614218590582942,0.23647371607240092
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",h4=0.55,0.55,,2.0,,8,0.009533143918217841,0.8181818181818182,0.5139118965178355,True,0.032092622533215556,0.10874053009126933
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",h4=0.55,0.55,2.0,1.0,0.0025,8,0.015348273612771569,0.7272727272727273,0.5680171900882622,True,0.041160435255681756,0.16234637249135203
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",h4=0.55,0.55,2.0,1.0,,8,0.00508826627009672,0.7272727272727273,0.5648839875356205,True,0.013876349934011612,0.05974629906460357
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",h4=0.55,0.55,2.0,1.5,0.0025,8,0.02089149568263252,0.7272727272727273,0.5984534764947308,True,0.0601248865943234,0.21777859318996154
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",h4=0.55,0.55,2.0,1.5,,8,0.0076343157738759555,0.7272727272727273,0.5656320838925442,True,0.020755706934856094,0.08520679410239591
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",h4=0.55,0.55,2.0,2.0,0.0025,8,0.024293063717865607,0.7272727272727273,0.5967551851808052,True,0.06588071785388648,0.25179427354229245
