time,dollar_beta_xs,dollar_beta_xs_36m,dollar_beta_afd,dollar_rx_tsmom,dollar_ew
2015-01-12 00:00:00+00:00,0.002726724065234276,0.0047661832150514005,0.002726724065234276,-0.005088111135068494,0.0012828800526128647
2015-01-13 00:00:00+00:00,-0.004466841305714314,-0.002170671837028959,-0.004466841305714314,0.005310635569799954,-0.0014484297196644084
2015-01-14 00:00:00+00:00,3.759209183509804e-05,-0.00024441935775504353,3.759209183509804e-05,0.001107635082783601,0.00023459997717468838
2015-01-15 00:00:00+00:00,-0.002934369439901968,-0.002036221897384588,-0.002934369439901968,0.0002089835889155076,-0.0019239942970682542
2015-01-16 00:00:00+00:00,0.007415250330726153,0.006772502177260109,0.007415250330726153,-0.02437527380070316,-0.0006930677404976861
2015-01-19 00:00:00+00:00,-0.0007345274844947902,-0.0011209038368640845,-0.0007345274844947902,0.0028132198059015933,5.581525001198211e-05
2015-01-20 00:00:00+00:00,-0.0012472075373202163,-0.0024268660916025586,-0.0012472075373202163,0.004692698822195156,-5.7145586011958776e-05
2015-01-21 00:00:00+00:00,-0.005463183094578633,-0.0012065385823639418,-0.005463183094578633,0.0036844122522929107,-0.0021121231298070744
2015-01-22 00:00:00+00:00,-0.004346212832816609,0.0003735047562756777,-0.004346212832816609,0.002147605845220557,-0.001542828766034246
2015-01-23 00:00:00+00:00,-0.0024914485307483136,-0.003886895599946094,-0.0024914485307483136,0.009514599824557267,0.0001612017907786363
2015-01-26 00:00:00+00:00,-0.007149627315098883,-0.005928059071674374,-0.007149627315098883,0.009605047548463697,-0.002655566538352111
2015-01-27 00:00:00+00:00,0.0005857192407724421,0.002526715735940488,0.0005857192407724421,-8.049320725984303e-05,0.0009044152525563823
2015-01-28 00:00:00+00:00,-0.001143187084388958,-0.001150959713721672,-0.001143187084388958,-0.004120114748599761,-0.0018893621577748374
2015-01-29 00:00:00+00:00,-0.004512347877171197,-0.002683771745323832,-0.004512347877171197,0.0072337568478518955,-0.0011186776629535824
2015-01-30 00:00:00+00:00,-0.0038778454859041134,-0.003125238351429638,-0.0038778454859041134,0.006192406501768174,-0.0011721307053674226
2015-02-02 00:00:00+00:00,-0.0009124599757413809,0.00072804423494785,-0.0009124599757413809,0.0013811325696235935,7.10642132721704e-05
2015-02-03 00:00:00+00:00,0.0030430818967112916,-4.607256609640009e-06,0.0030430818967112916,-0.0013196815080692226,0.0011904687571859301
2015-02-04 00:00:00+00:00,-0.002222541715746984,-0.003147239686915604,-0.002222541715746984,-0.004328464341449305,-0.0029801968649647193
2015-02-05 00:00:00+00:00,0.0003828617186237282,0.003741914631237242,0.0003828617186237282,0.002548922225902559,0.0017641400735968144
2015-02-06 00:00:00+00:00,0.0004380971120451216,1.783035241806341e-05,0.0004380971120451216,-0.007159746132918888,-0.0015664303891026455
2015-02-09 00:00:00+00:00,-0.0017355844061117953,-0.0015042252416036794,-0.0017355844061117953,0.006181990634042757,0.00030164914505387166
2015-02-10 00:00:00+00:00,0.0033628854579577927,0.002125472305510634,0.0033628854579577927,-0.002403934019395315,0.001611827300507726
2015-02-11 00:00:00+00:00,-0.0006670226487361375,0.0022950454428789513,-0.0006670226487361375,0.0011353191649680389,0.0005240798275936788
2015-02-12 00:00:00+00:00,-0.0031096414066135447,-0.0027703520294245776,-0.0031096414066135447,0.0029783367829911023,-0.0015028245149151412
2015-02-13 00:00:00+00:00,0.0006092493865439419,0.0009205867870046291,0.0006092493865439419,-0.005336495705262685,-0.0007993525362925431
2015-02-16 00:00:00+00:00,0.0017045812411135564,0.0007439697982555282,0.0017045812411135564,-0.0014413402547439613,0.0006779480064346699
2015-02-17 00:00:00+00:00,0.0006141837353486335,0.0003057863744076461,0.0006141837353486335,0.0016489675306036653,0.0007957803439271446
2015-02-18 00:00:00+00:00,0.003632636847377163,0.0019071597258736583,0.003632636847377163,-0.0033117856683278248,0.00146516193807504
2015-02-19 00:00:00+00:00,-0.0011140452493098862,0.0015746234683967908,-0.0011140452493098862,0.0007219961256283197,1.713227385133451e-05
2015-02-20 00:00:00+00:00,-0.0011535940689171298,-0.0007534077858228627,-0.0011535940689171298,0.002975908290156608,-2.117190837512854e-05
2015-02-23 00:00:00+00:00,0.0024859445234587663,0.0028384527399661352,0.0024859445234587663,-0.0018756573197196622,0.0014836711167910013
