,USD,EUR,GBP,JPY,CAD,CHF,AUD,NZD
2002-01-01 00:00:00+00:00,-1.6308376556,-0.2967358956,,-3.336510962821637,-2.0539152769,,-0.6596306068602176,0.40438006129093207
2002-02-01 00:00:00+00:00,-2.0104244267,-0.1984127074,,-3.2504780114720355,-2.5806451565,,-0.6596306068602176,0.40438006129093207
2002-03-01 00:00:00+00:00,-2.2997032589,0.0992063422,,-3.2629558541262704,-1.1673151771,,0.40053404539381887,0.8233045574978837
2002-04-01 00:00:00+00:00,-2.0771513266,-0.099009894,,-3.073967339096617,-1.1612903247,,0.40053404539381887,0.8233045574978837
2002-05-01 00:00:00+00:00,-1.2639405264,0.0,,-2.980769230768787,-0.8997429295,,0.40053404539381887,0.8233045574978837
2002-06-01 00:00:00+00:00,-1.3274336353,0.0,,-2.702702702703008,-1.1508951427,,-1.1734028683181075,0.7370772991658336
2002-07-01 00:00:00+00:00,-2.197802205,-0.1968503798,,-2.516940948693347,-2.165605098,,-1.1734028683181075,0.7370772991658336
2002-08-01 00:00:00+00:00,-1.6200294532,-0.2952755697,,-2.5218234723570543,-1.1612903247,-0.8297342031,-1.1734028683181075,0.7370772991658336
2002-09-01 00:00:00+00:00,-0.5952381045,0.0,,-2.339181286549663,-0.1300390133,-0.7429521722,-0.13192612137200577,-0.6429577663179531
2002-10-01 00:00:00+00:00,-0.6686478422,0.1976284675,,-2.3437499999999667,0.6501950543,-0.6707206427,-0.13192612137200577,-0.6429577663179531
2002-11-01 00:00:00+00:00,-0.442477883,0.1974333523,,-2.1547502448579614,0.6451612861,-0.7735726712,-0.13192612137200577,-0.6429577663179531
2002-12-01 00:00:00+00:00,1.4210920054,0.5940593985,,-1.7716535433070058,2.3560209342,-0.4934025286,1.5936254980080333,-0.9967653266868104
2003-01-01 00:00:00+00:00,1.4318010495,0.4960317455,,-1.577909270216904,2.0969855842,-0.4587273021,1.5936254980080333,-0.9967653266868104
2003-02-01 00:00:00+00:00,1.823708207,0.7952286298,,-1.581027667984236,2.913907283,-0.5934300343,1.5936254980080333,-0.9967653266868104
2003-03-01 00:00:00+00:00,3.0372057759,0.7928642235,,-1.190476190476264,2.4934383137,-0.4052587264,3.0585106382978955,-1.1237201422081622
