Date,OIL_ME_VS_NON
2008-03-11 00:00:00+00:00,-77.17
2008-03-12 00:00:00+00:00,-35.059999999999995
2008-03-13 00:00:00+00:00,-2.3699999999999903
2008-03-14 00:00:00+00:00,-36.06
2008-03-15 00:00:00+00:00,47.029999999999994
2008-03-16 00:00:00+00:00,-104.86
2008-03-17 00:00:00+00:00,-61.78
2008-03-18 00:00:00+00:00,-93.59
2008-03-19 00:00:00+00:00,-130.05
2008-03-20 00:00:00+00:00,-61.42999999999999
2008-03-21 00:00:00+00:00,-50.44
2008-03-22 00:00:00+00:00,-37.36
2008-03-23 00:00:00+00:00,-123.71
2008-03-24 00:00:00+00:00,-29.68
2008-03-25 00:00:00+00:00,-125.93
2008-03-26 00:00:00+00:00,3.9399999999999977
2008-03-27 00:00:00+00:00,28.47
2008-03-28 00:00:00+00:00,34.31999999999999
2008-03-29 00:00:00+00:00,-75.68
2008-03-30 00:00:00+00:00,-38.940000000000005
2008-03-31 00:00:00+00:00,68.13
2008-04-01 00:00:00+00:00,55.7
2008-04-02 00:00:00+00:00,62.99000000000001
2008-04-03 00:00:00+00:00,-97.75
2008-04-04 00:00:00+00:00,-53.73
2008-04-05 00:00:00+00:00,-83.89
2008-04-06 00:00:00+00:00,-108.35
2008-04-07 00:00:00+00:00,-60.51
2008-04-08 00:00:00+00:00,-153.98
2008-04-09 00:00:00+00:00,-12.570000000000007
2008-04-10 00:00:00+00:00,-55.190000000000005
2008-04-11 00:00:00+00:00,-43.730000000000004
2008-04-12 00:00:00+00:00,-18.21
2008-04-13 00:00:00+00:00,13.650000000000006
2008-04-14 00:00:00+00:00,-8.490000000000002
2008-04-15 00:00:00+00:00,30.540000000000006
2008-04-16 00:00:00+00:00,-58.55
2008-04-17 00:00:00+00:00,161.1
2008-04-18 00:00:00+00:00,-52.36
2008-04-19 00:00:00+00:00,-71.36
2008-04-20 00:00:00+00:00,-114.16
2008-04-21 00:00:00+00:00,-32.6
2008-04-22 00:00:00+00:00,-26.419999999999995
2008-04-23 00:00:00+00:00,-34.97
2008-04-24 00:00:00+00:00,-92.08
2008-04-25 00:00:00+00:00,-66.0
2008-04-26 00:00:00+00:00,-59.48
2008-04-27 00:00:00+00:00,-115.57
2008-04-28 00:00:00+00:00,-52.92
2008-04-29 00:00:00+00:00,-85.47
2008-04-30 00:00:00+00:00,-72.85
2008-05-01 00:00:00+00:00,-87.57
2008-05-02 00:00:00+00:00,-43.63
2008-05-03 00:00:00+00:00,-62.29
2008-05-04 00:00:00+00:00,28.22
2008-05-05 00:00:00+00:00,-32.1
2008-05-06 00:00:00+00:00,-105.94
2008-05-07 00:00:00+00:00,-36.31
2008-05-08 00:00:00+00:00,-83.7
2008-05-09 00:00:00+00:00,12.329999999999998
2008-05-10 00:00:00+00:00,-67.48
2008-05-11 00:00:00+00:00,-53.959999999999994
2008-05-12 00:00:00+00:00,23.019999999999996
2008-05-13 00:00:00+00:00,158.84
2008-05-14 00:00:00+00:00,92.0
2008-05-15 00:00:00+00:00,-98.13
2008-05-16 00:00:00+00:00,-59.99
2008-05-17 00:00:00+00:00,2.019999999999996
2008-05-18 00:00:00+00:00,-126.99
2008-05-19 00:00:00+00:00,22.960000000000008
2008-05-20 00:00:00+00:00,160.06
2008-05-21 00:00:00+00:00,-77.21
2008-05-22 00:00:00+00:00,-31.790000000000006
2008-05-23 00:00:00+00:00,-60.46
2008-05-24 00:00:00+00:00,-26.15
2008-05-25 00:00:00+00:00,-100.03
2008-05-26 00:00:00+00:00,-17.310000000000002
2008-05-27 00:00:00+00:00,-19.210000000000008
2008-05-28 00:00:00+00:00,-48.67
2008-05-29 00:00:00+00:00,43.510000000000005
2008-05-30 00:00:00+00:00,-40.35
2008-05-31 00:00:00+00:00,-17.76
2008-06-01 00:00:00+00:00,-33.82
2008-06-02 00:00:00+00:00,-50.56
2008-06-03 00:00:00+00:00,-7.640000000000001
2008-06-04 00:00:00+00:00,-40.879999999999995
2008-06-05 00:00:00+00:00,-29.20000000000001
2008-06-06 00:00:00+00:00,-48.23
2008-06-07 00:00:00+00:00,-68.37
2008-06-08 00:00:00+00:00,-94.5
2008-06-09 00:00:00+00:00,5.0
2008-06-10 00:00:00+00:00,213.55
2008-06-11 00:00:00+00:00,-91.65
2008-06-12 00:00:00+00:00,15.449999999999989
2008-06-13 00:00:00+00:00,-17.69
2008-06-14 00:00:00+00:00,-62.51
2008-06-15 00:00:00+00:00,-108.15
2008-06-16 00:00:00+00:00,53.31000000000001
2008-06-17 00:00:00+00:00,-112.1
2008-06-18 00:00:00+00:00,125.52999999999999
2008-06-19 00:00:00+00:00,-7.609999999999999
2008-06-20 00:00:00+00:00,-74.58
2008-06-21 00:00:00+00:00,-65.3
2008-06-22 00:00:00+00:00,91.45
2008-06-23 00:00:00+00:00,4.539999999999999
2008-06-24 00:00:00+00:00,-98.99
2008-06-25 00:00:00+00:00,-16.310000000000002
2008-06-26 00:00:00+00:00,-86.71
2008-06-27 00:00:00+00:00,67.99
2008-06-28 00:00:00+00:00,-80.22
2008-06-29 00:00:00+00:00,-39.19
2008-06-30 00:00:00+00:00,69.81
2008-07-01 00:00:00+00:00,12.700000000000017
2008-07-02 00:00:00+00:00,-13.420000000000002
2008-07-03 00:00:00+00:00,-118.8
2008-07-04 00:00:00+00:00,89.15
2008-07-05 00:00:00+00:00,-80.0
2008-07-06 00:00:00+00:00,-47.379999999999995
2008-07-07 00:00:00+00:00,-28.44
2008-07-08 00:00:00+00:00,-31.040000000000006
2008-07-09 00:00:00+00:00,-64.07000000000001
2008-07-10 00:00:00+00:00,-95.1
2008-07-11 00:00:00+00:00,-24.370000000000005
2008-07-12 00:00:00+00:00,48.41999999999999
2008-07-13 00:00:00+00:00,-56.23
2008-07-14 00:00:00+00:00,-20.520000000000003
2008-07-15 00:00:00+00:00,-101.94
2008-07-16 00:00:00+00:00,-100.2
2008-07-17 00:00:00+00:00,-108.35
2008-07-18 00:00:00+00:00,-19.009999999999998
2008-07-19 00:00:00+00:00,-11.940000000000005
2008-07-20 00:00:00+00:00,-76.83
2008-07-21 00:00:00+00:00,-33.55
2008-07-22 00:00:00+00:00,-57.45
2008-07-23 00:00:00+00:00,-125.6
2008-07-24 00:00:00+00:00,31.069999999999993
2008-07-25 00:00:00+00:00,-95.67
2008-07-26 00:00:00+00:00,-61.39
2008-07-27 00:00:00+00:00,-105.83
2008-07-28 00:00:00+00:00,-57.69
2008-07-29 00:00:00+00:00,44.52999999999999
2008-07-30 00:00:00+00:00,177.69
2008-07-31 00:00:00+00:00,-90.13
2008-08-01 00:00:00+00:00,-21.220000000000002
2008-08-02 00:00:00+00:00,-51.38
2008-08-03 00:00:00+00:00,-38.91
2008-08-04 00:00:00+00:00,-33.769999999999996
2008-08-05 00:00:00+00:00,33.19
2008-08-06 00:00:00+00:00,107.80000000000001
2008-08-07 00:00:00+00:00,-75.65
2008-08-08 00:00:00+00:00,11.409999999999997
2008-08-09 00:00:00+00:00,-3.3700000000000045
2008-08-10 00:00:00+00:00,-122.95
2008-08-11 00:00:00+00:00,-82.47
2008-08-12 00:00:00+00:00,-136.3
2008-08-13 00:00:00+00:00,-119.18
2008-08-14 00:00:00+00:00,-134.17
2008-08-15 00:00:00+00:00,-92.64
2008-08-16 00:00:00+00:00,-102.24
2008-08-17 00:00:00+00:00,-92.21
2008-08-18 00:00:00+00:00,-70.04
2008-08-19 00:00:00+00:00,-113.22
2008-08-20 00:00:00+00:00,39.59
2008-08-21 00:00:00+00:00,-112.48
2008-08-22 00:00:00+00:00,-9.429999999999993
2008-08-23 00:00:00+00:00,41.739999999999995
2008-08-24 00:00:00+00:00,-88.65
2008-08-25 00:00:00+00:00,-83.49
2008-08-26 00:00:00+00:00,-94.8
2008-08-27 00:00:00+00:00,-117.95
