,USD,EUR,GBP,CAD,JPY,AUD,NZD,CHF
1977-09-01 00:00:00+00:00,44.4242918192,-2.4475524418,,6.0293498423,,-1.766445533967953,,
1977-10-01 00:00:00+00:00,47.083078799,-5.6856187169,,7.4769202649,,-1.766445533967953,,
1977-11-01 00:00:00+00:00,47.3334956944,-3.8330494191,,9.1189233505,,-1.766445533967953,,
1977-12-01 00:00:00+00:00,32.5856124637,-5.6743421175,,9.1126874472,,-5.506625412483457,,
1978-01-01 00:00:00+00:00,23.8866241064,-11.410459575,,5.3423902986,,-5.506625412483457,,
1978-02-01 00:00:00+00:00,18.5661159661,-5.9842519591,,2.2620055718,,-5.506625412483457,,
1978-03-01 00:00:00+00:00,25.1527559737,3.8273615624,,-1.7956301249,,-1.4914659489496995,,
1978-04-01 00:00:00+00:00,25.2755217197,-22.7591582307,,-1.155847242,,-1.4914659489496995,,
1978-05-01 00:00:00+00:00,22.2626634056,-3.1681559767,,-2.2231299056,,-1.4914659489496995,,
1978-06-01 00:00:00+00:00,18.4786167863,-0.0851063697,,-2.5496812981,,-2.9339659915942673,-22.129436321539142,
1978-07-01 00:00:00+00:00,17.700427671,-0.9409751947,,-5.2723573761,,-2.9339659915942673,-22.129436321539142,
1978-08-01 00:00:00+00:00,19.356564969,-0.3445305834,,-6.2572816997,,-2.9339659915942673,-22.129436321539142,
1978-09-01 00:00:00+00:00,17.6256357876,3.4946236731,,-8.0405002864,,-1.2611879707941864,-11.583924354191621,
1978-10-01 00:00:00+00:00,17.5921503438,0.7092198505,,-7.4131821441,,-1.2611879707941864,-11.583924354191621,
1978-11-01 00:00:00+00:00,17.9713647942,2.4800708636,,-6.0947495859,,-1.2611879707941864,-11.583924354191621,
1978-12-01 00:00:00+00:00,18.4923488223,3.8360941579,,-8.0664936953,,5.340498794011239,1.9867549645805838,
1979-01-01 00:00:00+00:00,19.5904344925,12.4329159019,,-5.8527942333,,5.340498794011239,1.9867549645805838,
1979-02-01 00:00:00+00:00,19.6005841139,-7.8726968147,,-5.1366217335,,5.340498794011239,1.9867549645805838,
1979-03-01 00:00:00+00:00,17.4445271464,-30.0392156929,,-0.052241799,,2.769006577138433,3.753351203940425,
1979-04-01 00:00:00+00:00,15.0162580301,6.5590312905,,-3.116308272,,2.769006577138433,3.753351203940425,
1979-05-01 00:00:00+00:00,11.7921075919,3.2718120869,,-3.8640568022,,2.769006577138433,3.753351203940425,
1979-06-01 00:00:00+00:00,8.6280191542,9.9659284383,,-6.0082280091,,4.700993944970588,-6.836461112522718,
1979-07-01 00:00:00+00:00,5.6174917594,12.2625215921,,-2.8524758879,,4.700993944970588,-6.836461112522718,
1979-08-01 00:00:00+00:00,5.8526568694,10.8902333709,,0.3304131752,,4.700993944970588,-6.836461112522718,
1979-09-01 00:00:00+00:00,5.2946724095,10.6493506365,,2.4642240279,,5.4223320942197395,-7.486631011305178,
1979-10-01 00:00:00+00:00,4.5076068611,6.250000007,,2.2443355896,,5.4223320942197395,-7.486631011305178,
1979-11-01 00:00:00+00:00,3.689985226,9.3344857494,,3.5106023785,,5.4223320942197395,-7.486631011305178,
1979-12-01 00:00:00+00:00,3.6548045821,6.4651553377,,5.9704733115,,1.7855719233151435,-9.220779213592788,
1980-01-01 00:00:00+00:00,1.374912373,1.7501988905,,6.5128189286,,1.7855719233151435,-9.220779213592788,
1980-02-01 00:00:00+00:00,-0.3198569134,12.5454545305,,11.1661834963,,1.7855719233151435,-9.220779213592788,
1980-03-01 00:00:00+00:00,1.8120910008,29.5964125786,,10.5522075979,,1.0872134371097797,-9.43152453894831,
1980-04-01 00:00:00+00:00,-1.984164826,35.1325757556,,8.8161753417,,1.0872134371097797,-9.43152453894831,
1980-05-01 00:00:00+00:00,-6.2380012695,11.6978066578,,8.0325273775,,1.0872134371097797,-9.43152453894831,
1980-06-01 00:00:00+00:00,-13.3803064003,0.0774593487,,11.1314040809,,1.1127538690067995,0.8633093453584983,
1980-07-01 00:00:00+00:00,-20.2132013979,-3.7692307709,,9.5715531181,,1.1127538690067995,0.8633093453584983,
1980-08-01 00:00:00+00:00,-24.8769578969,-4.5206547165,,4.3114387648,,1.1127538690067995,0.8633093453584983,
1980-09-01 00:00:00+00:00,-24.7577040205,-7.7464788739,,5.1861661917,,8.066911599894988,2.890173416958497,
1980-10-01 00:00:00+00:00,-21.3031649842,-3.9768019936,,5.5850028265,,8.066911599894988,2.890173416958497,
1980-11-01 00:00:00+00:00,-17.7629523364,-4.9011857683,,6.3739586852,,8.066911599894988,2.890173416958497,
1980-12-01 00:00:00+00:00,-14.1830451166,-6.3880126294,,7.9989463386,,9.272456738298818,-2.4320457747295854,
1981-01-01 00:00:00+00:00,-8.8315124622,-7.7404222141,,8.3651952406,,9.272456738298818,-2.4320457747295854,
1981-02-01 00:00:00+00:00,-5.8457690143,-18.7399030652,,6.867446217,,9.272456738298818,-2.4320457747295854,
1981-03-01 00:00:00+00:00,-5.2431934474,-10.2941176484,,3.5932806886,,7.248071081296192,-6.134094145675695,
1981-04-01 00:00:00+00:00,-2.1101526364,-19.4113524965,,5.3927548123,,7.248071081296192,-6.134094145675695,
1981-05-01 00:00:00+00:00,0.3651563253,-14.2545454534,,5.9758094829,,7.248071081296192,-6.134094145675695,
1981-06-01 00:00:00+00:00,8.6550442396,-4.7987616161,,6.2252068626,,4.663690961608924,-0.2853067024054523,
1981-07-01 00:00:00+00:00,14.8190193089,-5.3557154279,,7.473714125,,4.663690961608924,-0.2853067024054523,
1981-08-01 00:00:00+00:00,17.1917638833,-5.0612244874,,9.7436640079,,4.663690961608924,-0.2853067024054523,
1981-09-01 00:00:00+00:00,12.9605713318,-6.2765055096,,8.9795684914,,5.258589514534329,1.8258426963245755,
1981-10-01 00:00:00+00:00,3.6298634537,-3.537532335,,8.7327698795,,5.258589514534329,1.8258426963245755,
1981-11-01 00:00:00+00:00,-3.3332991139,-6.8994181262,,8.0153841805,,5.258589514534329,1.8258426963245755,
1981-12-01 00:00:00+00:00,-11.8050641112,-9.0143218236,,3.176151776,,3.6479610206468394,9.67741933603794,
1982-01-01 00:00:00+00:00,-18.4453203275,-7.7966101646,,3.5790655361,,3.6479610206468394,9.67741933603794,
1982-02-01 00:00:00+00:00,-20.8587945257,-7.8528827142,,0.3463657984,,3.6479610206468394,9.67741933603794,
1982-03-01 00:00:00+00:00,-24.1564189517,-10.9932497798,,3.4149484553,,6.256812729114092,20.820668663981422,
1982-04-01 00:00:00+00:00,-24.0943600816,-3.0434782512,,4.6296296341,,6.256812729114092,20.820668663981422,
1982-05-01 00:00:00+00:00,-21.1245757655,-6.700593713,,5.2565944471,,6.256812729114092,20.820668663981422,
1982-06-01 00:00:00+00:00,-23.3039035708,-10.0813008173,,3.334311397,,2.2720588094185645,13.018597994753932,
1982-07-01 00:00:00+00:00,-22.107084455,-8.6148648651,,1.2374405201,,2.2720588094185645,13.018597994753932,
1982-08-01 00:00:00+00:00,-19.1180432869,-9.2863284703,,0.1873894798,,2.2720588094185645,13.018597994753932,
1982-09-01 00:00:00+00:00,-18.2974111899,-6.6063348412,,-2.3238105184,,-5.614348534793012,6.620689658364487,
1982-10-01 00:00:00+00:00,-13.3115772957,-3.6672629891,,-3.7744215728,,-5.614348534793012,6.620689658364487,
1982-11-01 00:00:00+00:00,-11.0872682721,-3.9285714173,,-6.1356658229,,-5.614348534793012,6.620689658364487,
1982-12-01 00:00:00+00:00,-5.0576198633,-2.1296296097,,-6.3668838049,,-11.27783156100376,3.6096256810715044,
1983-01-01 00:00:00+00:00,2.1926048406,2.6654411771,,-8.3946220716,,-11.27783156100376,3.6096256810715044,
1983-02-01 00:00:00+00:00,7.8011228745,22.8694714445,,-5.5044192238,,-11.27783156100376,3.6096256810715044,
1983-03-01 00:00:00+00:00,19.2064997887,23.7269772765,,-5.3219106981,,-16.146901944463533,-9.182389929257951,
1983-04-01 00:00:00+00:00,25.366149914,-14.887892378,,-5.3123070587,,-16.146901944463533,-9.182389929257951,
1983-05-01 00:00:00+00:00,30.8060882882,-7.0000000057,,-4.8189357487,,-16.146901944463533,-9.182389929257951,
1983-06-01 00:00:00+00:00,39.2293198531,-4.3399638289,,-5.0233614787,,-12.423610599293422,3.9240506138550346,
1983-07-01 00:00:00+00:00,45.0972734568,-2.6802218121,,-1.2014208112,,-12.423610599293422,3.9240506138550346,
1983-08-01 00:00:00+00:00,47.5511248078,4.9289099549,,0.2634352028,,-12.423610599293422,3.9240506138550346,
1983-09-01 00:00:00+00:00,56.0274022045,5.8139534931,,-0.1397887211,,-12.231525296531498,2.3285898902110747,
1983-10-01 00:00:00+00:00,59.3575218693,1.8570102151,,-1.0680401324,,-12.231525296531498,2.3285898902110747,
1983-11-01 00:00:00+00:00,62.4041195732,2.5092936772,,0.0247395458,,-12.231525296531498,2.3285898902110747,
1983-12-01 00:00:00+00:00,62.8175329819,4.3519394535,,1.1501346463,,0.6156963371510171,4.645161279113852,
